;*01;A00;D08;E07;E09;F02;F06;I04;N03;N05;_01
*01;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0;0;0;0.9221411192214112;0;0;0.07785888077858881;0;0
D08;0.6428571428571429;0;0;0;0.35714285714285715;0;0;0;0;0;0
E07;0.9702842377260982;0;0.029715762273901807;0;0;0;0;0;0;0;0
E09;1.0;0;0;0;0;0;0;0;0;0;0
F02;0;0;0;0;0;0;0;0.7994722955145118;0.20052770448548812;0;0
F06;0.0012165450121654502;0;0.057177615571776155;0.9416058394160584;0;0;0;0;0;0;0
I04;0;0;0;0;0;0;0.9746268656716418;0;0;0.025373134328358207;0
N03;0;0;0;0;0;0;0.7037037037037037;0.2962962962962963;0;0;0
N05;0;0;0;0;0;0;1.0;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0
